dtreffre,numdep,nomdep,numregi,nomregi,aah_tx_inca,beneficiaires,lieures,date
2018-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8557,LA REUNION/LA REUNION,2018-12-01
2024-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11853,LA REUNION/LA REUNION,2024-09-01
2024-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11019,LA REUNION/LA REUNION,2024-09-01
2024-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10902,LA REUNION/LA REUNION,2024-05-01
2023-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10029,LA REUNION/LA REUNION,2023-07-01
2023-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11865,LA REUNION/LA REUNION,2023-06-01
2023-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10013,LA REUNION/LA REUNION,2023-06-01
2023-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11865,LA REUNION/LA REUNION,2023-05-01
2024-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11864,LA REUNION/LA REUNION,2024-07-01
2024-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11888,LA REUNION/LA REUNION,2024-06-01
2024-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11860,LA REUNION/LA REUNION,2024-08-01
2025-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11593,LA REUNION/LA REUNION,2025-07-01
2025-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11171,LA REUNION/LA REUNION,2025-07-01
2025-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11614,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11178,LA REUNION/LA REUNION,2025-06-01
2021-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12110,LA REUNION/LA REUNION,2021-05-01
2021-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9397,LA REUNION/LA REUNION,2021-05-01
2022-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11922,LA REUNION/LA REUNION,2022-05-01
2022-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9688,LA REUNION/LA REUNION,2022-05-01
2022-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11923,LA REUNION/LA REUNION,2022-04-01
2020-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9054,LA REUNION/LA REUNION,2020-11-01
2021-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12106,LA REUNION/LA REUNION,2021-04-01
2025-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11594,LA REUNION/LA REUNION,2025-04-01
2025-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11161,LA REUNION/LA REUNION,2025-04-01
2025-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11550,LA REUNION/LA REUNION,2025-03-01
2025-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11130,LA REUNION/LA REUNION,2025-02-01
2024-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11811,LA REUNION/LA REUNION,2024-12-01
2024-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11100,LA REUNION/LA REUNION,2024-12-01
2024-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11810,LA REUNION/LA REUNION,2024-11-01
2024-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11053,LA REUNION/LA REUNION,2024-11-01
2024-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11822,LA REUNION/LA REUNION,2024-10-01
2021-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12093,LA REUNION/LA REUNION,2021-08-01
2021-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12025,LA REUNION/LA REUNION,2021-02-01
2021-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11997,LA REUNION/LA REUNION,2021-01-01
2021-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9172,LA REUNION/LA REUNION,2021-01-01
2021-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12068,LA REUNION/LA REUNION,2021-12-01
2021-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9519,LA REUNION/LA REUNION,2021-12-01
2021-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,1,LA REUNION/LA REUNION,2021-12-01
2021-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9523,LA REUNION/LA REUNION,2021-11-01
2021-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12094,LA REUNION/LA REUNION,2021-09-01
2021-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9487,LA REUNION/LA REUNION,2021-09-01
2019-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11738,LA REUNION/LA REUNION,2019-08-01
2019-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8773,LA REUNION/LA REUNION,2019-08-01
2019-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11665,LA REUNION/LA REUNION,2019-03-01
2019-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11641,LA REUNION/LA REUNION,2019-02-01
2019-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8553,LA REUNION/LA REUNION,2019-02-01
2019-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8842,LA REUNION/LA REUNION,2019-12-01
2019-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8722,LA REUNION/LA REUNION,2019-07-01
2017-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8203,LA REUNION/LA REUNION,2017-05-01
2017-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8175,LA REUNION/LA REUNION,2017-04-01
2017-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10553,LA REUNION/LA REUNION,2017-02-01
2017-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10490,LA REUNION/LA REUNION,2017-01-01
2016-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8013,LA REUNION/LA REUNION,2016-12-01
2016-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10417,LA REUNION/LA REUNION,2016-10-01
2016-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,7940,LA REUNION/LA REUNION,2016-10-01
2017-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10873,LA REUNION/LA REUNION,2017-07-01
2017-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10857,LA REUNION/LA REUNION,2017-06-01
2025-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11413,LA REUNION/LA REUNION,2025-11-01
2025-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11355,LA REUNION/LA REUNION,2025-10-01
2022-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9650,LA REUNION/LA REUNION,2022-04-01
2017-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11108,LA REUNION/LA REUNION,2017-11-01
2017-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10993,LA REUNION/LA REUNION,2017-09-01
2017-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8366,LA REUNION/LA REUNION,2017-09-01
2018-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11388,LA REUNION/LA REUNION,2018-05-01
2018-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11228,LA REUNION/LA REUNION,2018-03-01
2017-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11175,LA REUNION/LA REUNION,2017-12-01
2018-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11629,LA REUNION/LA REUNION,2018-11-01
2018-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11542,LA REUNION/LA REUNION,2018-10-01
2018-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8495,LA REUNION/LA REUNION,2018-09-01
2018-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11432,LA REUNION/LA REUNION,2018-07-01
2018-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8522,LA REUNION/LA REUNION,2018-11-01
2018-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8513,LA REUNION/LA REUNION,2018-07-01
2019-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11815,LA REUNION/LA REUNION,2019-10-01
2019-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11775,LA REUNION/LA REUNION,2019-09-01
