dtreffre,numdep,nomdep,numregi,nomregi,aah_tx,beneficiaires,lieures,date
2025-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,16463,LA REUNION/LA REUNION,2025-12-01
2025-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6580,LA REUNION/LA REUNION,2025-11-01
2025-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6504,LA REUNION/LA REUNION,2025-08-01
2024-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6385,LA REUNION/LA REUNION,2024-08-01
2023-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,16182,LA REUNION/LA REUNION,2023-10-01
2023-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6005,LA REUNION/LA REUNION,2023-10-01
2023-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,15908,LA REUNION/LA REUNION,2023-08-01
2023-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6012,LA REUNION/LA REUNION,2023-08-01
2025-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,16284,LA REUNION/LA REUNION,2025-07-01
2024-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6439,LA REUNION/LA REUNION,2024-09-01
2024-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6354,LA REUNION/LA REUNION,2024-07-01
2024-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,16481,LA REUNION/LA REUNION,2024-06-01
2023-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5955,LA REUNION/LA REUNION,2023-05-01
2023-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,15829,LA REUNION/LA REUNION,2023-04-01
2023-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,15722,LA REUNION/LA REUNION,2023-02-01
2023-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5804,LA REUNION/LA REUNION,2023-02-01
2023-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,15752,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5767,LA REUNION/LA REUNION,2023-01-01
2022-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5933,LA REUNION/LA REUNION,2022-12-01
2022-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5884,LA REUNION/LA REUNION,2022-09-01
2022-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,15804,LA REUNION/LA REUNION,2022-07-01
2022-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5861,LA REUNION/LA REUNION,2022-07-01
2022-05,974,LA REUNION,04,LA REUNION,AAH à taux plein,15789,LA REUNION/LA REUNION,2022-05-01
2022-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5794,LA REUNION/LA REUNION,2022-04-01
2022-03,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5661,LA REUNION/LA REUNION,2022-03-01
2024-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,16278,LA REUNION/LA REUNION,2024-01-01
2023-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,15926,LA REUNION/LA REUNION,2023-06-01
2023-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5958,LA REUNION/LA REUNION,2023-06-01
2024-05,974,LA REUNION,04,LA REUNION,AAH à taux plein,16487,LA REUNION/LA REUNION,2024-05-01
2020-05,974,LA REUNION,04,LA REUNION,AAH à taux plein,15149,LA REUNION/LA REUNION,2020-05-01
2020-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5729,LA REUNION/LA REUNION,2020-05-01
2020-03,974,LA REUNION,04,LA REUNION,AAH à taux plein,14986,LA REUNION/LA REUNION,2020-03-01
2020-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,14970,LA REUNION/LA REUNION,2020-01-01
2019-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,14990,LA REUNION/LA REUNION,2019-06-01
2019-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5511,LA REUNION/LA REUNION,2019-05-01
2019-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5510,LA REUNION/LA REUNION,2019-04-01
2019-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,14867,LA REUNION/LA REUNION,2019-04-01
2021-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,15605,LA REUNION/LA REUNION,2021-08-01
2022-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,15726,LA REUNION/LA REUNION,2022-01-01
2021-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5950,LA REUNION/LA REUNION,2021-07-01
2021-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,15585,LA REUNION/LA REUNION,2021-06-01
2021-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,15539,LA REUNION/LA REUNION,2021-12-01
2021-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6055,LA REUNION/LA REUNION,2021-12-01
2021-05,974,LA REUNION,04,LA REUNION,AAH à taux plein,15573,LA REUNION/LA REUNION,2021-05-01
2021-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,15458,LA REUNION/LA REUNION,2021-02-01
2020-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5873,LA REUNION/LA REUNION,2020-12-01
2020-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5826,LA REUNION/LA REUNION,2020-09-01
2020-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,15260,LA REUNION/LA REUNION,2020-08-01
2020-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,15224,LA REUNION/LA REUNION,2020-07-01
2020-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5805,LA REUNION/LA REUNION,2020-07-01
2020-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,15189,LA REUNION/LA REUNION,2020-06-01
2020-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5816,LA REUNION/LA REUNION,2020-06-01
